,NVDA,AAPL,MSFT,MU,AMZN,AMD,GOOGL,AVGO,GOOG,META,TSLA,WMT,INTC,CSCO,COST,QQQ
2021-01-04,0.426841501341931,0.3774376369578475,0.2874402304447351,0.6296616492113085,0.3175696513765897,0.5455075985396437,0.29719831698814136,0.317718695679257,0.2913027249922591,,0.6168221318310848,0.22771478890643698,0.35930152584112107,0.26454080031604466,0.22855335870268997,0.2511246231153564
2021-01-05,0.3939861574230353,0.3650081101363686,0.2775061894083996,0.4937231994404162,0.35676183805423894,0.5399917471687852,0.3013359502010303,0.28225011017825996,0.30784478024012607,,0.6565559816440106,0.2406080812445297,0.3749592816698053,0.2834385356717477,0.19323578003985328,0.2327100559445154
2021-01-06,0.416310826639608,0.3829567771111395,0.3072089603737188,0.4885049583742892,0.36696449368217454,0.5333534578497593,0.31084053955940283,0.2875686261192601,0.30537162753554864,,0.6893175200940149,0.23220868514477688,0.37003899514377225,0.2655907549851918,0.18550322806574335,0.2450658818014299
2021-01-07,0.3671046590620463,0.3630737721581021,0.2655774542832937,0.484262816901185,0.3533667100821049,0.5293253722541846,0.305077685237791,0.27086238199079404,0.28935329354627654,,0.7357199994987755,0.22801275524654993,0.3592041636320501,0.264484198948911,0.1773862470690892,0.22566386954900552
2021-01-08,0.3706894216496451,0.3633986497473127,0.2643687946608576,0.4296358802319728,0.35004623275002544,0.5313829277019593,0.29574240213738384,0.2821577508434836,0.2958233045718133,,0.8441273297272947,0.2279597592039321,0.3421195640789934,0.2657298455822243,0.1746076503697839,0.23168412699075452
2021-01-11,0.4202909181430547,0.399282635739578,0.2913914785309454,0.4296464180220648,0.38018231857178075,0.5605225503474183,0.32610182412662236,0.28793154599043247,0.32509050656806576,,0.8331696553813013,0.23814189805586566,0.37086805088075436,0.2844565459098061,0.1911879339677705,0.25114851294645485
2021-01-12,0.4195761084889646,0.3969565523834342,0.2735181215960477,0.4332608640294338,0.37352606716494496,0.5542256690775541,0.32264714157800944,0.2917555044484764,0.3248384636099406,,0.8185027071355879,0.24555196310652536,0.3723806192772032,0.28131925048323825,0.19737274455117135,0.24276289134131068
2021-01-13,0.4059869809978803,0.3862927733556202,0.2674380664055094,0.4134729152119203,0.3592202505250646,0.5615589769758658,0.303488028543754,0.2647706397926157,0.3110652213962925,,0.8062425850784966,0.22885025536975243,0.3686190607095529,0.27896713965006564,0.18324412109380056,0.2335769876951738
2021-01-14,0.405087102692292,0.3990607144576666,0.2824031353910631,0.4182800837470617,0.37148314168743085,0.5348654202186247,0.3161944034771343,0.2693398302512224,0.3149551827096955,,0.796225134196754,0.23811675228386078,0.39344777677634,0.2821289374633782,0.190146243937502,0.24549844995848924
2021-01-15,0.3945652661633225,0.3857292194654921,0.2747558828397158,0.3984883203181872,0.35821655688864207,0.5259863138188775,0.2977578814981611,0.27592335146051755,0.2991341001640149,,0.7993932234848558,0.2404496800707878,0.3558571132508083,0.28057761509113355,0.18508976394286114,0.23581687547320646
2021-01-19,0.3709786631352023,0.3649361770392629,0.2588044622136613,0.4045144401933561,0.35799895140364063,0.5329591843010465,0.31619694272980003,0.26877239016476306,0.3090239541043756,,0.7541475164646486,0.2492298030249684,0.3587007823688656,0.2765910010111902,0.1969519432953832,0.23888377956266668
2021-01-20,0.3734196605264727,0.3825559689342381,0.2745229270118952,0.406093831630819,0.3669236722131111,0.5448356629532046,0.34208334793674616,0.2606417892578818,0.33476828866201996,,0.7275581733067881,0.2449745308374812,0.3690636019912829,0.2847357976429031,0.18834789908639923,0.22337465359237346
2021-01-21,0.3992117709494783,0.4048060499754117,0.2785054282162105,0.3975387574762092,0.3654847304086589,0.562275300593948,0.3297337507152684,0.2772068577324322,0.32089316165448617,,0.7158781829068515,0.24830692147340647,,0.29386539520229604,0.18737417145801755,0.22182546095198669
2021-01-22,0.379012199704646,0.4042633414758508,0.2877304933879754,0.4010388499356375,0.37199214996779845,0.5783233531791505,0.33143532179897245,0.29105106651573853,0.3241631878714498,,0.7077297698211316,0.2540395956344939,0.29284776312734245,0.2994518353653552,0.17733265766165798,0.22211050713655323
2021-01-25,0.4115422471832733,0.4712377991654642,0.3061262485761867,0.4226918791161717,0.39560237017144784,0.5985070508185536,0.35341027529031643,0.28235251477618906,0.34952243289312435,,0.8201979150838045,0.2769646591171141,0.29648673324421865,0.3174447704050164,0.1940110443632254,0.2280393738261409
