date,NVDA,AAPL,MSFT,MU,AMZN,AMD,GOOGL,AVGO,GOOG,META,TSLA,WMT,INTC,CSCO,COST,QQQ
2021-01-04,,0.3837469152614114,0.3072788932901114,,,0.5577328370835798,,,,,,,,0.2503876199603493,0.2597619242023317,0.2366855733974099
2021-01-05,,0.3650081101363686,0.2749455237818776,,,0.5136804748974332,,,,,,,,0.2378645076858005,0.2041563750968993,0.1942986354076148
2021-01-06,,0.3861920848298317,0.2949967900774137,0.6879702397936359,,0.571697411405884,,,,,,,,0.2329026326038637,0.1960811040297855,0.2020319986794787
2021-01-07,,0.3630737721581021,0.2741196450368,0.6837261434516866,,0.5115724232846703,,,,,,,,0.2049901131653835,0.1762147347404879,0.1979094578035872
2021-01-08,,0.3633986497473127,0.2621796165046904,0.4643400040649957,,0.4713620365620792,,,,,,,,0.1936538425405044,0.1889351471152185,0.2083790537810172
2021-01-11,,0.399282635739578,0.2933014705678097,,,,,,,,,,,,0.1924152938870569,0.2178438184559665
2021-01-12,,0.3969565523834342,0.2842521370564713,,,,,,,,,,,,0.1960798990587514,0.2084155120194327
2021-01-13,,0.3862927733556202,0.2813260930256038,,,,,,,,,,,,0.1797881694652383,0.2023508693049534
2021-01-14,,0.3990607144576666,0.2972428846856567,,,,,,,,,,,,0.188489855353415,0.2097024646457058
2021-01-15,,0.3903228550301891,0.2947460447102579,,,,,,,,,,,,0.1851398697327608,0.1993381539304305
2021-01-19,,0.3676122707444652,0.274747021225853,,,0.5329591843010465,,,,,,,0.3713402244104252,0.2741553319310812,0.1969519432953832,0.2029415792027137
2021-01-20,,0.3800867754428647,0.2822958528922251,,,0.551681817097245,,,,,,,0.3888753793493515,0.2847357976429031,0.1897707913658373,0.2082774780660131
2021-01-21,,0.3882874483185056,0.2881278008494826,,,0.5564476293209417,,,,,,,,0.2913097297892501,0.1857967134617616,0.2115223169353118
2021-01-22,,0.3713434930073493,0.2949664030472189,,,0.5646032753930393,,,,,,,0.3377754812984923,0.2961376662038404,0.1784814162374436,0.2099409813160405
2021-01-25,,0.4305096167773949,0.3127809570441213,,,0.5783794566293913,,,,,,,0.3925654489930261,0.3167444584904235,0.1911600522399469,0.2223940529398947
2021-01-26,,0.4488404593988159,0.3352037028008132,,,0.6322959431065996,,,,,,,0.3905730408233556,0.3328017131273958,0.1911064503436449,0.2661098347314313
2021-01-27,,0.4514967403428052,0.3319299564224245,,,0.5893754694813664,,,,,,,0.4374105967056124,0.3609367788069753,0.2538167743718152,0.2681875305621397
2021-01-28,,0.3918897419556569,0.2608090054517166,,,0.5219908655032149,,,,,,,0.3752888490323027,0.3474977110304715,0.2209984972544209,0.2556984435058126
2021-01-29,,0.4214016847244829,0.2967597210835051,,,0.5304035411569721,,,,,,,0.3821458430394696,0.3823494465879691,0.2463108058810023,0.2492643430602678
