,AAPL,MSFT,NVDA,CRM,CSCO,IBM,AMZN,VZ,JPM,GS,AXP,V,TRV,UNH,JNJ,MRK,AMGN,BA,CAT,HON,MMM,WMT,PG,KO,MCD,NKE,DIS,HD,CVX,SHW,DOW,DIA
2021-01-04,0.3774376369578475,0.2874402304447351,0.426841501341931,0.3538347209018272,0.2645408003160446,0.7820426400424181,0.3175696513765897,0.1273317730173311,0.3000109281632792,0.3473067719577945,0.3451638608038741,0.2683515799235751,0.3112354399142006,0.3362379643422208,0.2452660793523051,0.7607808481221143,0.3061664197935309,0.5029235252442824,0.3428889405916115,,2.74548436304939,0.22771478890643698,0.2196627916753353,0.2422582621640405,0.2367039660905256,0.2711119399657599,0.3447292447877169,0.2541597986557131,0.3952844798823376,,0.3792619317576844,0.2188365198136297
2021-01-05,0.3650081101363686,0.2775061894083996,0.3939861574230353,0.3112758119112237,0.2834385356717477,0.4724965849889601,0.3567618380542389,0.1137575260013186,0.2814450410208361,0.3224140376458617,0.3046559754909341,0.2499227951438554,0.2822041965055831,0.3014976682784642,0.2453576717649159,0.4363854844347024,0.2643878617441259,0.4617624285436262,0.3008323102757221,0.2984959549498516,1.397020774648946,0.2406080812445297,0.1814533681609584,0.2202233700331845,0.2180597255015078,0.2460582418446068,0.3378881627257422,0.2199242110458766,0.3413577543924662,,0.3605211136250813,0.17600544323485
2021-01-06,0.3829567771111395,0.3072089603737188,0.416310826639608,0.3212378315128374,0.2655907549851918,0.4403861893721564,0.3669644936821745,0.1288582134781157,0.2694357408779292,0.3008351735257001,0.2923442037718975,0.2435837484678987,0.2631499801537603,0.2740119828433776,0.237495577115001,0.4642279613765144,0.265612769461542,0.4583195106762859,0.2949183983015691,0.3068242851638362,1.4462340209902356,0.23220868514477688,0.1781589075255779,0.2222467557762212,0.2088720390410851,0.2508319209473572,0.3248392602262566,0.2182220483349576,0.3287141546883828,,0.3512798935941954,0.1769956994243021
2021-01-07,0.3630737721581021,0.2655774542832937,0.3671046590620463,0.3051557708601334,0.264484198948911,0.4353376658790876,0.3533667100821049,0.1710221155839858,0.2632357471768797,0.331827988145526,0.3182018609755271,0.2323511858255862,0.2779387947881342,0.2661390981946442,0.2306182768316038,0.4366960295546804,0.2473096802142847,0.4556443060441007,0.2886567597826617,0.2990323531549929,1.5456565604655037,0.22801275524654993,0.1720668727013405,0.2132238913503092,0.2030796101967215,0.23152637040663,0.317981298136272,0.2122044122010672,0.3143956977741403,,0.3432648590042176,0.1617477743403841
2021-01-08,0.3633986497473127,0.2643687946608576,0.3706894216496451,0.2924146011386082,0.2657298455822243,0.4316452702363559,0.3500462327500254,0.1598580347059126,0.2662477702156194,0.316765821614638,0.3195983411815731,0.2260497495448029,0.2603046797619088,0.2691124683831168,0.2282925514585722,,0.2442269049689461,0.4424448076504172,0.2900093784755052,0.3092871402591368,1.5017768588624392,0.2279597592039321,0.1633115082281572,0.2124004101375889,0.2050009563925352,0.2288047059176199,0.3125970267044181,0.1973881435038882,0.313389230666196,,0.344869465988817,0.1579823971435513
2021-01-11,0.399282635739578,0.2913914785309454,0.4202909181430547,0.3156176812439999,0.2844565459098061,0.4617532125155744,0.3801823185717807,0.1703445163695319,0.2786829690555407,0.3259181836678799,0.3344546065502625,0.2462136697315657,0.2887360887625864,0.2714771915161911,0.2398334219553562,0.4843031358223627,0.2583579244242405,0.4592108257882889,0.3125411704105033,0.3051965171349094,1.5216403282614457,0.23814189805586566,0.1762448675062675,0.2293997856689381,0.2202262374494099,0.2380072520203508,0.330818272265058,0.2337123492168602,0.3383022745094539,,0.3467804950580306,0.1764218473964819
2021-01-12,0.3969565523834342,0.2735181215960477,0.4195761084889646,0.3145852667231292,0.2813192504832382,0.4805451615995198,0.3735260671649449,0.1636232424235081,0.2808013590664721,0.3295581067909332,0.3295688125750229,0.2521192404207319,0.2774689735861368,0.2761954211884294,0.2505449589691416,0.4495519481517087,0.2570657791606798,0.4573758285056923,0.3042745135327055,0.3222503725281628,1.6109897128399375,0.24555196310652536,0.1715073518144897,0.2243178273675585,0.2196608381738435,0.2404295278581298,0.3345643000599206,0.2203100170398141,0.329589256025171,,0.3690462225261999,0.1636529602374552
2021-01-13,0.3862927733556202,0.2674380664055094,0.4059869809978803,0.3036704983708934,0.2789671396500656,0.5120451136430012,0.3592202505250646,0.1732065433611201,0.2768060771079842,0.3183489046996477,0.3232998128275225,0.239822219849101,0.2724391941685295,0.262441452460754,0.2250661955526134,0.4941234607190555,0.2484657225305845,0.4642050610056414,0.2938973480490903,0.3666164337471059,1.5784098098927144,0.22885025536975243,0.1705651871752891,0.2210635765405081,0.2111756275972859,0.2297913121952166,0.3294735519634504,0.2177279685640065,0.3260709881309158,,0.3467214067107521,0.1621928648042922
2021-01-14,0.3990607144576666,0.2824031353910631,0.405087102692292,0.3170971499291149,0.2821289374633782,0.4778979263833334,0.3714831416874308,0.1732172301907178,0.2718772921207551,0.3250983726699191,0.3249773537800757,0.2743945291923572,0.2830327114482976,0.2805826466447136,0.2290000224030841,0.4981512525609492,0.2469965575411594,0.4690678827274653,0.3009481344037603,0.3096255037009562,1.6085775154071935,0.23811675228386078,0.1787251201931535,0.2244985125399393,0.2143256424802186,0.2343142835318194,0.3349125735490526,0.2208467078699115,0.3236973612443092,,0.3467409301630075,0.1596677609440449
2021-01-15,0.3857292194654921,0.2747558828397158,0.3945652661633225,0.3338812644894312,0.2805776150911335,0.4638006824962381,0.358216556888642,0.1673918870582786,0.2660956355246052,0.3203923376264966,0.3062059765401779,0.2483954916742733,0.2530837514085358,0.2607043411052174,0.2299356672509542,0.4627518238014286,0.234932042635782,0.4631006866270913,0.2933750076097572,0.3320433587521667,1.5464325887331938,0.2404496800707878,0.172364376015225,0.2190812631207916,0.2148043005241729,0.2329143693323402,0.3296761196642556,0.2100755294985171,0.3192627273996971,,0.3536215563478915,0.1566811785088854
