,NVDA,AAPL,MSFT,MU,AMZN,AMD,GOOGL,AVGO,GOOG,META,TSLA,WMT,INTC,CSCO,COST,QQQ
2021-01-04,,0.6944694207874501,0.9694842650196824,0.7714022037931596,,0.5577328370835798,,,,,,,0.7843451977382105,,1.2651481306834436,0.5605082598403195
2021-01-05,,0.769422795358224,0.3912309662595421,0.8282604727865512,,0.5136804748974332,,,,,,,0.8655319889483781,1.1222386624605991,0.6309234084643037,0.3049337502493198
2021-01-06,,0.6763992954295667,0.3863715131933616,0.8464497323554324,,0.571697411405884,,,,,,,0.9030382461422648,1.159319735562962,0.6076226056330688,0.301557967099441
2021-01-07,,0.8141303996229673,0.3825486548007969,0.8949011915818887,,0.5115724232846703,,,,,,,0.9822950932931556,1.2218134100562752,0.5788620939880109,0.3153656244353715
2021-01-08,,0.9162911893042596,0.3858789228318147,0.6127493066085927,,0.4713620365620792,,,,,,,0.9335176269053792,1.2221119118696806,0.6055636673334251,0.3417534566188673
2021-01-11,,,0.4070741094583774,,,,,,,,,,,1.3200272872643972,0.5783250261903038,0.3412629615001458
2021-01-12,,,0.3840411278571696,,,,,,,,,,0.6352357727908463,1.384997891511538,0.5932276810915139,0.3315252664870173
2021-01-13,,,0.3890550679646103,,,,,,,,,,0.7084015598101959,1.335328422930194,0.6250480705850955,0.3327243408543966
2021-01-14,,,0.393371769352586,,,,,,,,,,0.8053490079639968,1.3394446805811238,0.5723185735344166,0.3370340174903951
2021-01-15,,,0.3888969300444815,,,,,,,,,,0.7207841060878594,1.366311183603529,0.6150592377156497,0.3160325656097147
2021-01-19,,0.5027255143411041,0.3811471913585155,,,0.5329591843010465,,,,,,,0.755933124644587,1.4071831562484605,0.5649709838117171,0.3450935557205214
2021-01-20,,0.5509455112317174,0.4314948938421821,,,0.551681817097245,,,,,,,0.797085754852628,1.465473248598093,0.609324354758609,0.3816122793580231
2021-01-21,,0.6143561010890224,0.4455285770901621,,,0.5564476293209417,,,,,,,0.949598829663701,1.4768312497649183,0.6536515415840313,0.3980645550784857
2021-01-22,,0.6433339350198461,0.4604127813095943,,,0.5646032753930393,,,,,,,0.6498101655094852,1.4716969963845088,0.6624236048189839,0.3951370662973494
2021-01-25,,0.7483121250522122,0.5112895117266931,,,0.5783794566293913,,,,,,,0.6366466151530626,,0.7008529575860213,0.4295322472705268
2021-01-26,,0.7735226462029426,0.5588123262490462,,,0.6322959431065996,,,,,,,0.6547707317329838,,0.7556008688312017,0.4937795000369059
2021-01-27,,0.8140137975168963,0.5741934903243295,,,0.5893754694813664,,,,,,,0.6670439004132499,,0.697978559387632,0.4305936852224658
2021-01-28,,0.663211264185928,0.5728224577350478,,,0.5219908655032149,,,,,,,0.7008527496852973,,0.7021520283701244,0.4489873549861438
2021-01-29,,0.6303558091076864,0.5423740145502857,0.5548370292265101,,0.5304035411569721,,,,,,,0.693395384483388,,0.6864266129406917,0.4194207436447646
2021-02-01,,0.6265365471308663,0.625861130800013,0.5462982333230026,,0.4966196503396063,,,,,,,0.7228850043147785,,0.6969178197956143,0.4538140805304563
2021-02-02,,0.5885550484759101,0.6303505784697978,0.4983039808832485,,0.4429961261751774,,,,,,,0.7630191206492066,,0.720645026881552,0.495760712586599
2021-02-03,,0.6029201445910427,0.6739178037748856,0.4994862431255317,,0.4188957683271585,,,,,,,0.7359683398914397,,0.7251321931835103,0.4829301032020154
2021-02-04,,0.6943883786039382,0.5534393515733039,0.4753705881504409,,0.3936563854946686,,,,,,,0.8353412737276263,1.1186427214268688,0.7242148417616293,0.4930618978449337
2021-02-05,,0.6910111637093929,0.5633675438726233,0.4654467638571777,,0.3702685288990128,,,,,,,0.763930345896551,1.2060570839257003,0.7262372262466283,0.4913603286556202
2021-02-08,,0.7740373772353345,0.5785641866319302,0.5061478933346631,,0.3936235703365686,,,,,,,0.956468671866884,1.313613481400713,0.7798872805758394,0.5151783787134089
2021-02-09,,0.7774203088765008,0.5981135218985943,0.4916527915056957,,0.3882428530292612,,,,,,,0.9488608885090906,1.277929767546123,0.7829215147338714,0.5286841024956933
