,AAPL,MSFT,NVDA,CRM,CSCO,IBM,AMZN,VZ,JPM,GS,AXP,V,TRV,UNH,JNJ,MRK,AMGN,BA,CAT,HON,MMM,WMT,PG,KO,MCD,NKE,DIS,HD,CVX,SHW,DIA
2021-01-04,0.6944672596638934,0.9694836157502736,,0.5825991573243263,2.1535761046983724,4.061767014299679,,,1.323173281406377,1.0548884355069197,0.9104481362877256,1.141564085739472,1.2083268068380313,1.43888818445326,2.042823559778424,3.25937980441723,2.1585337616309173,0.5002624624713469,1.1570406797603094,2.1223733099592565,,,2.584544733988829,3.541373562974388,1.9867885535520524,1.3171096308118635,0.8021608866977358,1.788235422756288,3.218382181422228,,1.3155949774699518
2021-01-05,0.7694246167019294,0.3912311351730321,,0.5834857863801362,1.122239863439291,2.604834615226315,,3.3180664112291844,1.3961261148311366,1.210188568339128,0.9396533672540468,1.1091861109712045,0.6988626506291686,1.379033418399903,1.0920624435284196,2.1543147014852235,1.3221429193268388,0.443938119735987,0.5669489348466644,1.0952637910828469,3.0901566886553407,,1.4687171079554322,1.4540617499897524,2.122864646802204,0.7119096482299199,0.8392328787208481,0.8689823911170154,1.4539124543278656,,0.6499855199755574
2021-01-06,0.6764008509281515,0.3863715131933616,,0.5457722784400969,1.1593193245068003,2.7770502808255144,,3.415428734428863,1.8837546823750884,1.722132256032232,1.2031147516516945,1.117896137434374,0.781889997772324,1.780041029431561,1.1348506340522242,2.2619283348831365,1.4242861696797715,0.444806396244903,0.6507298151044745,1.166981004813488,3.184135921108901,,1.5306667228268394,1.3449134893881358,2.211843697588692,0.7372661346388879,0.8945189148726733,0.90803777785685,1.578700746061441,,0.711358771948193
2021-01-07,0.814128353755384,0.3825486548007969,,0.5329364787128976,1.2218138351697672,2.8063602103802103,,3.305475948956333,2.293242114495265,2.0279595809810256,1.2576649068086938,1.2201096895064891,0.8067194087924919,2.034482452802944,1.1665640348596,2.3734766617631062,1.458927368988429,0.4159362737623869,0.6558817469928093,1.1740592718028051,3.083462805655137,,1.5092596672884857,1.3360672772805828,2.428021364630965,0.7910900177670069,0.9179218092882848,0.8962318145138802,1.6329916675505018,,0.7219915646352634
2021-01-08,0.9162942377489136,0.3858789228318147,,0.6188634794729596,1.2221132020193248,2.824484655757012,,3.3082142990072128,2.4646081972636504,2.107512492014751,1.2561564479677556,1.3630615743847307,0.8099244988494129,2.108250269352703,1.1676865548555513,2.336283720025736,1.5602770669534414,0.3771801254985483,0.658103047877124,1.1427514448836278,2.995878153351244,,1.5197297701720829,1.4236621825435136,2.746229584697637,0.8197248360880673,0.9803110910237464,0.9291901440551068,1.702121644591848,,0.7371848131040405
2021-01-19,0.5027257777987222,0.3811473682182783,,,1.407182156795514,3.310876368313835,,3.7328891198230494,0.9859537995659368,0.928495739023114,0.6521447595779739,0.4489576567392992,1.002922806629079,,1.4099766480503133,2.747941367449796,2.0102934561794426,0.4502798502878509,0.7146362546322843,1.249605245479941,3.5992586952401244,,1.5921914502317076,1.370673007246886,1.0988212492695804,0.7611488909349305,0.4308367047257188,1.1786161706260567,2.1665856571771736,,0.8108394342373649
2021-01-20,0.5509448902750423,0.4314944562345056,,,1.465473248598093,3.409962085108339,,3.856209995014224,0.9242563464541536,0.8953634444041443,0.6797457755856466,0.4955308091333302,1.077500052652602,,1.44012691619996,2.731149585135712,2.13300462299232,0.4433462653885499,0.6993165691104081,1.30694853760384,3.707924018164023,,1.5509972922049913,1.4461631702219215,1.2338253391351357,0.8772976641725532,0.4434927837072756,1.1929668324081368,2.225404988556822,,0.8610870925269491
2021-01-21,0.6143531613305094,0.4455288034474473,,,1.4768317666351456,3.560228727153822,,3.934040048440915,0.9035930949955656,0.8865341794392515,0.6731252399138493,0.4770644270597152,1.1592204951885885,,1.4422240638469204,2.7032323160115177,2.1681057816633933,0.4621268477313238,0.7144283224983354,1.2559479989100273,3.798263234924895,,1.5366223620044042,1.5030560454035364,1.2674988548535515,0.8435032078236521,0.4504462076399029,1.3044683358500742,2.1017944555201056,,0.8668640412568372
2021-01-22,0.6433331367284637,0.4604118381356115,,,1.471698034976887,2.9522509785632627,,4.062309565094343,0.8813191558310834,0.8950900793724904,0.6501359189977807,0.4603165248560613,1.1219465067036802,,1.540473099288896,2.733559937601657,2.2399307262374464,0.4567031553898186,0.7171920856141566,1.2220068045477772,3.817458732682308,,1.5342658055872918,1.4955864627840685,1.273327305841909,0.8049714930143614,0.4673389592845767,1.4037352534717074,2.0981548235052943,,0.8607785061684546
2021-01-25,0.7483102833851972,0.5112889708835096,,,1.583639537705083,3.078337239772535,,4.399762900728288,0.8793370379775004,0.87158917925367,0.6130453584842551,0.4994030656771232,1.2024269570897026,,1.6966902047260914,2.874670701609727,2.41345665746494,0.488987946716529,0.7103235322475578,1.2722908394405763,4.05191239253721,,1.7019572868000177,1.5871881455160677,1.3307250663408872,0.7955422041831531,0.483655611425945,1.4827888214163885,2.1363599630348284,,0.9151603794571523
