date,AAPL,MSFT,NVDA,CRM,CSCO,IBM,AMZN,VZ,JPM,GS,AXP,V,TRV,UNH,JNJ,MRK,AMGN,BA,CAT,HON,MMM,WMT,PG,KO,MCD,NKE,DIS,HD,CVX,SHW,DIA
2025-08-05,0.2715535296936962,,,,,0.2858925047811841,,,0.2406610120756218,,,0.229691008585729,0.235705733442606,0.4960868532613101,,0.3831593221242109,0.4401000262689208,0.3047119850027655,,,0.2803618481673141,,,0.351596617577498,,,,,0.3631727146574364,0.2459647160725568,0.1406260354875591
2025-08-06,0.250324666854633,,,,,0.28503454464346,,,0.236233884080761,,,0.2297736344585018,0.2343717056916306,0.5077258052788499,,0.3756904996762066,0.3171708669872297,0.2976346092907401,,,0.2785891383404104,,,0.4205994455134877,,,,,0.3644154873285162,0.2564739916488519,0.1359535807034939
2025-08-07,0.2398146754630406,,,,,0.2834352668879843,,,0.2360218744154966,,,0.2226261463932974,0.2323954437522171,0.513976527005307,,0.3823224368824009,0.3116165916942481,0.3034701127778902,,,0.2766397289929995,,,0.4088762783727396,,,,,0.3633545133264777,0.2466675885817083,0.1368423095894997
2025-08-08,0.2444817630867586,,,,,0.2747115369533245,,,0.2288546272428276,,,0.2241886273083365,0.2348998382845946,0.4860817401736568,,0.3760105601199192,0.3186090255390796,0.2881267804576264,,,0.2736155672097489,,,0.4003813447633823,,,,,0.3780749173196001,0.2426771497615576,0.130765303147512
2025-08-11,0.2419432126638802,,,,,0.2863700141970795,,,0.2320789826339986,,,0.2286315293290993,0.2422212933748987,0.490996976630136,,0.3752371400330563,0.3126575514449815,0.2962138045205065,,,0.3042459474964279,,,0.489638753963396,,,,,0.3712185040489802,0.2728940924397855,0.1317387675424161
2025-08-12,0.2359851232920816,,,,,0.2863106168871288,,,0.2263284326350452,,,0.2192770830680481,0.2193242837504761,0.4533888220917013,,0.3719555342846787,0.306019482043408,0.2757958886809422,,,0.3044100113112982,,,0.4365944445252745,,,,,0.3746218889627618,0.2816029880811899,0.1332269422415437
2025-08-13,0.2400395886406441,,,,,0.2812955936637737,,,0.2265003880683379,,,0.240222929771906,0.2347939161036111,0.4489628460070056,,0.4192099651021637,0.3233517702666411,0.3185865948025079,,,0.3163559256065517,,,0.4931940469658042,,,,,0.4033127487719242,0.3202506855083887,0.1416895011102196
2025-08-14,0.2296836399501574,,,,,0.2869254966591582,,,0.2320786614495357,,,0.2410135889002907,0.2462188357933033,0.4669036425175419,,0.4278562560476698,0.3285022421683219,0.2975797492754015,,,0.2975680643266382,,,0.3964208535519812,,,,,0.3869265425652284,0.3026198445451235,0.1492790935086055
2025-08-15,0.2259281113068358,,,,,0.2784520373586535,,,0.2262498751978425,,,0.2336730378819191,0.2233749388088375,0.4613164070427475,,0.4500202433182862,0.3632665476014777,0.3136138639777587,,,0.2845071724467859,,,0.4171025068743542,,,,,0.4139323332568956,0.2956668032406288,0.1383070466934236
2025-08-18,0.2305409372136821,0.2353140422803061,0.4228254115732842,0.4796683856862392,0.2769943346307028,0.2769807797635072,0.2330307412495167,0.7903832414850235,0.2271395244619744,,,0.2346695627951411,0.2251635508528753,0.446220660251539,0.2393297382733897,0.4690517539101831,0.3451851545751808,0.2869698605572501,,0.4479750351795138,0.2927190176194857,0.28358279063648,0.3315149866998699,0.4016704541940729,0.2947129095524349,0.5680387784814718,0.3301256355022974,0.2989026510123955,0.4051332185819335,0.2932296945917931,0.1418532968775432
2025-08-19,0.2224586317461823,0.2306962570707793,0.441834579052314,0.4909257519593562,0.2783942064359667,0.2692967233587053,0.2353898017213137,0.8543629792230321,0.2308031151243971,,,0.2409584347841416,0.2354986403593938,0.4411626677783397,0.2803438450285165,0.4974069371833445,0.3793919277512548,0.2976534362273839,,0.4662182448718994,0.2981554375096314,0.2993097659523792,0.3856750747556935,0.4476932944277214,0.3148711542396062,0.559427799410751,0.3300715869324966,0.268558879156807,0.3781443624618929,0.3087577758591881,0.1471858746251423
