,AAPL,MSFT,NVDA,CRM,CSCO,IBM,AMZN,VZ,JPM,GS,AXP,V,TRV,UNH,JNJ,MRK,AMGN,BA,CAT,HON,MMM,WMT,PG,KO,MCD,NKE,DIS,HD,CVX,SHW,DIA
2021-01-04,0.3837469152614114,0.3072788932901114,,0.36760606647825533,0.2503876199603493,0.5750109698918402,,,,,0.3424188215118552,0.29678345289968533,,0.33239401662582585,0.24808780966529367,0.6154336768383145,0.32693358009136175,0.5002624624713469,0.3325253297290242,,3.0861138289116754,,0.24284420816931362,0.2931624308869132,0.23670396609052563,0.268251402695746,0.3513486071108057,0.2455934119380162,0.3931984665891629,,0.2040799736366496
2021-01-05,0.3650081101363686,0.2749455237818776,,0.3303112952427324,0.23786450768580053,0.6631130436881253,,,,0.34403281502978905,0.32197723987976834,0.2462784942510077,,0.3109561670564256,0.2305408809972901,0.6538854374966445,0.32135493330232734,0.443938119735987,0.31064008644438335,0.3817526117329877,1.2608001639643174,,0.22146231183088924,0.2252206974163199,0.21947642588301958,0.2515711357102641,0.32902446571522365,0.21516076693140268,0.3842785178316231,,0.1599565708867478
2021-01-06,0.3861920848298317,0.2949967900774137,,0.3545393123813718,0.23290263260386374,0.8195862957112505,,,0.3262088372466197,0.31299021189165943,0.27087475154942353,0.23138358223425257,0.247818163263653,0.2668883053229669,0.22336505337555823,0.7507365368917813,0.2985519795778515,0.44480639624490304,0.2991351125013149,0.3612455854948978,1.3145698883091994,,0.24071199084878828,0.22224675577622122,0.21172814999837186,0.26732558467301354,0.3228639112331937,0.20856811607944498,0.35557459241293393,,0.16751672167081164
2021-01-07,0.3630737721581021,0.2741196450368,,0.2917171808985408,0.20499011316538351,0.836545931144365,,0.20318100050615667,0.3152996374576049,0.34129831403075167,0.30844425951562476,0.2322030432577984,0.25723357820226117,0.2703093747187633,0.20566715521183512,0.9534840582924495,0.2844318807763017,0.4159362737623869,0.29588410100408213,0.33573522501980635,1.2285488900095909,,0.21328838589408589,0.21322389135030925,0.18621510989874415,0.224324526193162,0.2989340491983811,0.2041093469251425,0.3186845211359523,,0.15265969220475883
2021-01-08,0.3633986497473127,0.2621796165046904,,0.2814474879795586,0.19365384254050447,0.8560047485015849,,0.16060387044356478,0.32032772156554523,0.33464743348488357,0.2951906509254098,0.22636451153196588,0.25018089595530035,0.2590534533115831,0.20251936781554705,0.8907174045512932,0.275997145619483,0.37718012549854835,0.2947690454181618,0.30874787436312856,1.1170509878734818,,,0.21240041013758892,0.19740144535396661,0.2411854960638292,0.2904021977346529,0.20095996143961692,0.31558448401894157,,0.15087304816111757
2021-01-11,0.399282635739578,0.2933014705678097,,,,,,,,0.3363612584280961,,0.24760721559475915,0.2629928291126583,,,,,,0.3124207436634567,0.3438757242457069,1.1390226445082476,,,0.22939978566893812,,,,0.21857830991798477,,,0.1661421635071956
2021-01-12,0.3969565523834342,0.2842521370564713,,,,,,,,0.3344624167204274,,0.25286794717037886,0.2649384357856514,,,,,,0.31103197403243243,0.33959816487351946,1.200730553935759,,,0.2243178273675585,,,,0.21766148016531464,,,0.15671459472280314
2021-01-13,0.3862927733556202,0.2813260930256038,,,,,,,,0.3228389890191649,,0.23837451673380583,0.2566993331248513,,,,,,0.3059876922914193,0.3666164337471059,1.2085542386511756,,,0.22106357654050812,,,,0.21682961182615032,,,0.15469138599069562
2021-01-14,0.3990607144576666,0.2972428846856567,,,,,,,,0.32536644133434034,,0.27671479583616004,0.26737416851127715,,,,,,0.30936042468927466,0.36972127779362124,1.2281974008290377,,,0.22449851253993938,,,,0.2167386020062317,,,0.1512389549919566
2021-01-15,0.3903228550301891,0.2947460447102579,,,,,,,,0.32697441562320784,,0.2497708317443208,0.2530837514085358,,,,,,0.30008731345633805,0.33204335875216673,1.186650715514036,,,0.22172842592275735,,,,0.20848735667747118,,,0.14607590168758441
